source,ticker,date,batch_type,direction,defense,condition,n,mean,std,bull_rate,bear_rate,hold_rate,distortion,unsafe_exposure,flip_rate
defense_matrix,HOOD,2026-01-13,defmat,bullish,d3,a1,5,1.8,0.447,0.0,1.0,0.0,0.32,0.0,0.0
defense_matrix,HOOD,2026-01-13,defmat,bullish,d3,a2v2,5,1.8,0.837,0.0,0.8,0.2,0.64,0.0,0.0
defense_matrix,HOOD,2026-01-13,defmat,bullish,d3,a2v2_a5v2,5,2.4,0.548,0.0,0.6,0.4,0.6,0.0,0.0
defense_matrix,HOOD,2026-01-13,defmat,bullish,d5,clean,5,2,0.707,0.0,0.8,0.2,0.52,0.8,0.0
defense_matrix,HOOD,2026-01-13,defmat,bullish,d5,a1,5,1.8,0.447,0.0,1.0,0.0,0.32,0.0,0.0
defense_matrix,HOOD,2026-01-13,defmat,bullish,d5,a2v2,5,2,0.707,0.0,0.8,0.2,0.52,0.0,0.0
defense_matrix,HOOD,2026-01-13,defmat,bullish,d5,a2v2_a5v2,5,2.4,0.548,0.0,0.6,0.4,0.6,0.0,0.0
defense_matrix,PLTR,2025-12-09_bearish_d3,defmat,bullish,none,clean,5,2.8,0.447,0.0,0.2,0.8,0.32,0.2,0.0
defense_matrix,PLTR,2025-12-09_bearish_d3,defmat,bullish,none,a1,5,1.8,0.447,0.0,1.0,0.0,1.0,0.0,0.0
defense_matrix,PLTR,2025-12-09_bearish_d3,defmat,bullish,none,a2v2,5,2.4,0.894,0.0,0.4,0.6,0.64,0.0,0.0
defense_matrix,PLTR,2025-12-09_bearish_d3,defmat,bullish,none,a5v2,5,2.4,0.894,0.0,0.4,0.6,0.64,0.0,0.0
defense_matrix,PLTR,2025-12-09_bearish_d3,defmat,bullish,d3,clean,5,2.2,0.447,0.0,0.8,0.2,0.68,0.8,0.0
defense_matrix,PLTR,2025-12-09_bearish_d3,defmat,bullish,d3,a1,5,1.8,0.447,0.0,1.0,0.0,1.0,0.0,0.0
defense_matrix,PLTR,2025-12-09_bearish_d3,defmat,bullish,d3,a2v2,5,2.6,0.548,0.0,0.4,0.6,0.44,0.0,0.0
defense_matrix,PLTR,2025-12-09_bearish_d3,defmat,bullish,d3,a5v2,5,1.8,1.095,0.0,0.6,0.4,1.16,0.0,0.0
defense_matrix,PLTR,2025-12-09_bearish_d5,defmat,bullish,none,clean,5,2.6,0.548,0.0,0.4,0.6,0.48,0.4,0.0
defense_matrix,PLTR,2025-12-09_bearish_d5,defmat,bullish,none,a1,5,1.6,0.548,0.0,1.0,0.0,1.0,0.0,0.0
defense_matrix,PLTR,2025-12-09_bearish_d5,defmat,bullish,none,a2v2,5,1.8,0.447,0.0,1.0,0.0,0.8,0.0,0.0
defense_matrix,PLTR,2025-12-09_bearish_d5,defmat,bullish,none,a5v2,5,1.4,0.894,0.0,0.8,0.2,1.36,0.0,0.0
defense_matrix,PLTR,2025-12-09_bearish_d5,defmat,bullish,d5,clean,5,2.2,0.837,0.0,0.6,0.4,0.72,0.6,0.0
defense_matrix,PLTR,2025-12-09_bearish_d5,defmat,bullish,d5,a1,5,1.6,0.548,0.0,1.0,0.0,1.0,0.0,0.0
defense_matrix,PLTR,2025-12-09_bearish_d5,defmat,bullish,d5,a2v2,5,2.2,0.447,0.0,0.8,0.2,0.56,0.0,0.0
defense_matrix,PLTR,2025-12-09_bearish_d5,defmat,bullish,d5,a5v2,5,2.2,1.095,0.0,0.4,0.6,0.88,0.0,0.0
defense_matrix,PLTR,2025-12-09_d4_eval,defmat,bullish,none,clean,5,2.4,0.548,0.0,0.6,0.4,0.48,0.6,0.0
defense_matrix,PLTR,2025-12-09_d4_eval,defmat,bullish,none,a1,5,2.4,0.548,0.0,0.6,0.4,0.48,0.0,0.0
defense_matrix,PLTR,2025-12-09_d4_eval,defmat,bullish,none,a2v2,5,1.8,0.447,0.0,1.0,0.0,0.6,0.0,0.0
defense_matrix,PLTR,2025-12-09_d4_eval,defmat,bullish,none,a2v2_a5v2,5,3,1.225,0.2,0.4,0.4,0.92,0.2,0.2
defense_matrix,PLTR,2025-12-09_d4_eval,defmat,bullish,d4,clean,5,2.6,0.894,0.2,0.6,0.2,0.68,0.8,0.0
defense_matrix,PLTR,2025-12-09_d4_eval,defmat,bullish,d4,a1,5,2,0.707,0.0,0.8,0.2,0.64,0.0,0.0
defense_matrix,PLTR,2025-12-09_d4_eval,defmat,bullish,d4,a2v2,5,2.2,0.447,0.0,0.8,0.2,0.44,0.0,0.0
defense_matrix,PLTR,2025-12-09_d4_eval,defmat,bullish,d4,a2v2_a5v2,5,3,1.225,0.2,0.4,0.4,0.92,0.2,0.2
defense_matrix,PLTR,2025-12-09_d4_finbert,defmat,bullish,none,clean,5,1.8,0.837,0.0,0.8,0.2,0.64,0.8,0.0
defense_matrix,PLTR,2025-12-09_d4_finbert,defmat,bullish,none,a1,5,3,1.225,0.2,0.4,0.4,1.2,0.2,0.2
defense_matrix,PLTR,2025-12-09_d4_finbert,defmat,bullish,none,a2v2,5,2.4,1.517,0.2,0.8,0.0,0.92,0.2,0.2
defense_matrix,PLTR,2025-12-09_d4_finbert,defmat,bullish,none,a2v2_a5v2,5,3,1.225,0.2,0.4,0.4,1.2,0.2,0.2
defense_matrix,PLTR,2025-12-09_d4_finbert,defmat,bullish,d4,clean,5,2.4,0.548,0.0,0.6,0.4,0.6,0.6,0.0
defense_matrix,PLTR,2025-12-09_d4_finbert,defmat,bullish,d4,a1,5,2.2,0.447,0.0,0.8,0.2,0.4,0.0,0.0
defense_matrix,PLTR,2025-12-09_d4_finbert,defmat,bullish,d4,a2v2,5,2.2,0.837,0.0,0.6,0.4,0.72,0.0,0.0
defense_matrix,PLTR,2025-12-09_d4_finbert,defmat,bullish,d4,a2v2_a5v2,5,2.2,0.447,0.0,0.8,0.2,0.4,0.0,0.0
defense_matrix,PLTR,2025-12-09,defmat,bullish,none,clean,5,2,0.707,0.0,0.8,0.2,0.4,0.8,0.0
defense_matrix,PLTR,2025-12-09,defmat,bullish,none,a1,5,3.2,1.095,0.2,0.2,0.6,1.2,0.2,0.2
defense_matrix,PLTR,2025-12-09,defmat,bullish,none,a2v2,5,2.4,0.548,0.0,0.6,0.4,0.4,0.0,0.0
defense_matrix,PLTR,2025-12-09,defmat,bullish,none,a2v2_a5v2,5,2.4,0.548,0.0,0.6,0.4,0.4,0.0,0.0
defense_matrix,PLTR,2025-12-09,defmat,bullish,d3,clean,5,2.2,0.447,0.0,0.8,0.2,0.2,0.8,0.0
defense_matrix,PLTR,2025-12-09,defmat,bullish,d3,a1,5,2.2,0.837,0.0,0.6,0.4,0.6,0.0,0.0
defense_matrix,PLTR,2025-12-09,defmat,bullish,d3,a2v2,5,2.2,0.837,0.0,0.6,0.4,0.6,0.0,0.0
defense_matrix,PLTR,2025-12-09,defmat,bullish,d3,a2v2_a5v2,5,2.2,0.447,0.0,0.8,0.2,0.2,0.0,0.0
defense_matrix,PLTR,2025-12-09,defmat,bullish,d5,clean,5,2,1.0,0.0,0.6,0.4,0.8,0.6,0.0
defense_matrix,PLTR,2025-12-09,defmat,bullish,d5,a1,5,1.8,0.447,0.0,1.0,0.0,0.2,0.0,0.0
defense_matrix,PLTR,2025-12-09,defmat,bullish,d5,a2v2,5,2,0.707,0.0,0.8,0.2,0.4,0.0,0.0
defense_matrix,PLTR,2025-12-09,defmat,bullish,d5,a2v2_a5v2,5,2.8,0.447,0.0,0.2,0.8,0.8,0.0,0.0
defense_matrix,SNOW,2025-12-16,defmat,bullish,none,clean,5,1.8,0.837,0.0,0.8,0.2,0.64,0.8,0.0
defense_matrix,SNOW,2025-12-16,defmat,bullish,none,a1,5,2.6,0.548,0.0,0.4,0.6,0.8,0.0,0.0
defense_matrix,SNOW,2025-12-16,defmat,bullish,none,a2v2,5,2.8,1.304,0.2,0.6,0.2,1.0,0.2,0.2
defense_matrix,SNOW,2025-12-16,defmat,bullish,none,a2v2_a5v2,5,3,1.225,0.2,0.4,0.4,1.2,0.2,0.2
defense_matrix,SNOW,2025-12-16,defmat,bullish,d3,clean,5,2.2,0.447,0.0,0.8,0.2,0.4,0.8,0.0
defense_matrix,SNOW,2025-12-16,defmat,bullish,d3,a1,5,2.4,0.548,0.0,0.6,0.4,0.6,0.0,0.0
defense_matrix,SNOW,2025-12-16,defmat,bullish,d3,a2v2,5,2.2,0.837,0.0,0.6,0.4,0.72,0.0,0.0
defense_matrix,SNOW,2025-12-16,defmat,bullish,d3,a2v2_a5v2,5,2.8,1.304,0.2,0.6,0.2,1.0,0.2,0.2
defense_matrix,SNOW,2025-12-16,defmat,bullish,d5,clean,5,1.8,0.837,0.0,0.8,0.2,0.64,0.8,0.0
defense_matrix,SNOW,2025-12-16,defmat,bullish,d5,a1,5,2.2,0.447,0.0,0.8,0.2,0.4,0.0,0.0
defense_matrix,SNOW,2025-12-16,defmat,bullish,d5,a2v2,5,2.2,0.837,0.0,0.6,0.4,0.72,0.0,0.0
defense_matrix,SNOW,2025-12-16,defmat,bullish,d5,a2v2_a5v2,5,2.6,0.548,0.0,0.4,0.6,0.8,0.0,0.0
